ADM3_FR,ADM2_FR,ADM1_FR,shape_Leng,Shape_Area,ADM0_PCODE,Country,Latitude,Longitude,Population,Area,Total_bran,Total_ATMs,Total_geoc
Soubala,Bankass,Mopti,0.545395127366000,0.012801969728200,ML,mali,13.896072000000000,-3.512492000000000,"10684",15700.000,0.000000000000000,0.000000000000000,
Bankass,Bankass,Mopti,0.824783528070000,0.030264659514600,ML,mali,14.038888999999999,-3.512679000000000,"30476",37000.000,0.000000000000000,0.000000000000000,
Dimbal Habé,Bankass,Mopti,0.822117390063000,0.023924344719200,ML,mali,14.017903000000000,-3.664165000000000,"17682",29900.000,0.000000000000000,0.000000000000000,
Kani Bozon,Bankass,Mopti,0.606481072132000,0.015004160178300,ML,mali,14.115102000000000,-3.597132000000000,"13082",17900.000,0.000000000000000,0.000000000000000,
Bandiagara,Bandiagara,Mopti,0.111218891166000,0.000747413684922,ML,mali,14.341409000000001,-3.607679000000000,"17166",880.000,0.000000000000000,0.000000000000000,
Timiri,Bandiagara,Mopti,0.887745839084000,0.056007337481300,ML,mali,14.000057999999999,-3.972163000000000,"17580",67600.000,0.000000000000000,0.000000000000000,
Soroly,Bandiagara,Mopti,0.425757470003000,0.008862136667090,ML,mali,14.441895000000001,-3.532288000000000,"7296",10500.000,0.000000000000000,0.000000000000000,
Sangha,Bandiagara,Mopti,0.868023519377000,0.030368997665500,ML,mali,14.478799000000000,-3.278091000000000,"85445",75228.000,0.000000000000000,0.000000000000000,
Pignari Bana,Bandiagara,Mopti,1.482717947570000,0.086164420500400,ML,mali,14.436424000000001,-3.871733000000000,"30079",108700.000,2.000000000000000,0.000000000000000,"0"
Pignari,Bandiagara,Mopti,0.941240079144000,0.039101921875600,ML,mali,14.240413999999999,-3.927325000000000,"16063",45500.000,0.000000000000000,0.000000000000000,
Lowol Guéou,Bandiagara,Mopti,0.753091000184000,0.027099195565800,ML,mali,14.867265000000000,-3.719371000000000,"8957",28900.000,0.000000000000000,0.000000000000000,
Kendié,Bandiagara,Mopti,1.556209641860000,0.090167006195700,ML,mali,14.637612000000001,-3.576315000000000,"25482",114100.000,0.000000000000000,0.000000000000000,
Dourou,Bandiagara,Mopti,0.773588559893000,0.025177194862500,ML,mali,14.273523000000001,-3.453747000000000,"19524",23500.000,0.000000000000000,0.000000000000000,
Dogani Béré,Bandiagara,Mopti,0.581960570115000,0.016412365619200,ML,mali,14.884963000000001,-3.392703000000000,"4419",23100.000,0.000000000000000,0.000000000000000,
Bara Sara,Bandiagara,Mopti,1.511148588500000,0.052628278934600,ML,mali,14.126391999999999,-3.789937000000000,"15033",65700.000,0.000000000000000,0.000000000000000,
Ségué Iré,Bandiagara,Mopti,0.508060955350000,0.009510761835880,ML,mali,14.677973000000000,-3.297094000000000,"14861",12700.000,0.000000000000000,0.000000000000000,
Youwarou,Youwarou,Mopti,1.417525338700000,0.075268443984500,ML,mali,15.323039000000000,-4.336323000000000,"23313",89200.000,0.000000000000000,0.000000000000000,
N'dodjiga,Youwarou,Mopti,1.259761778530000,0.069692672728300,ML,mali,15.585998999999999,-3.981498000000000,"22309",83800.000,0.000000000000000,0.000000000000000,
Farimaké,Youwarou,Mopti,2.837129835050000,0.320810632534000,ML,mali,15.378054000000001,-4.896030000000000,"11916",362000.000,0.000000000000000,0.000000000000000,
Dongo,Youwarou,Mopti,0.719897374890000,0.029719950378900,ML,mali,15.671908999999999,-4.224809000000000,"11476",36900.000,0.000000000000000,0.000000000000000,
Bimbéré Tama,Youwarou,Mopti,0.983575589877000,0.051840454755500,ML,mali,15.112171999999999,-4.409978000000000,"8239",57900.000,0.000000000000000,0.000000000000000,
Ténenkou,Ténenkou,Mopti,0.108480491361000,0.000766348515227,ML,mali,14.453844000000000,-4.908197000000000,"11274",850.000,0.000000000000000,0.000000000000000,
Toguére-Coumbe,Ténenkou,Mopti,1.931474532480000,0.189125369353000,ML,mali,14.949035000000000,-4.700340000000000,"27575",255600.000,0.000000000000000,0.000000000000000,
Togoro Kotia,Ténenkou,Mopti,1.377864816960000,0.105743559352000,ML,mali,14.632141000000001,-4.410719000000001,"13655",108300.000,0.000000000000000,0.000000000000000,
Sougoulbe,Ténenkou,Mopti,0.885746578886000,0.020365493453100,ML,mali,14.544774000000000,-4.963763000000000,"9255",21100.000,0.000000000000000,0.000000000000000,
Diondiori,Ténenkou,Mopti,0.990234739500000,0.046210940833400,ML,mali,14.671559000000000,-4.862894000000000,"20492",50900.000,0.000000000000000,0.000000000000000,
Diaka,Ténenkou,Mopti,1.413312299420000,0.103966212141000,ML,mali,14.336931999999999,-5.051419000000000,"19480",115200.000,0.000000000000000,0.000000000000000,
Dianké,Niafunké,Tombouctou,1.551295517990000,0.073608920514300,ML,mali,15.705467000000001,-4.609096000000000,"10447",93800.000,0.000000000000000,0.000000000000000,
Fittouga,Niafunké,Tombouctou,1.433914691120000,0.089715261052600,ML,mali,15.841516000000000,-3.662805000000000,"30097",114700.000,0.000000000000000,0.000000000000000,
Koumaïra,Niafunké,Tombouctou,0.914530987597000,0.040925639847600,ML,mali,15.765416999999999,-3.883442000000000,"14431",49400.000,1.000000000000000,0.000000000000000,"0"
Léré,Niafunké,Tombouctou,2.376459975100000,0.129410379860000,ML,mali,15.718394000000000,-4.872997000000000,"17432",133000.000,0.000000000000000,0.000000000000000,
Souboundou,Niafunké,Tombouctou,1.574647668610000,0.118694809263000,ML,mali,16.005863000000002,-3.986921000000000,"40425",166100.000,1.000000000000000,0.000000000000000,"0"
Soumpi,Niafunké,Tombouctou,1.560942230170000,0.133542201489000,ML,mali,15.896931000000000,-4.352085000000000,"16948",158500.000,1.000000000000000,0.000000000000000,"0"
